sid,clusterLabel,scaleLabel,shapeLabel,locationLabel,centroidX,centroidY,minX,minY,maxX,maxY,w,h,A
20087:203351,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,847.845013,485.626225,845.893910,483.980510,849.738570,487.635630,3.844660,3.655120,14.052694
20087:203360,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,840.091078,453.459628,837.215740,451.536050,843.178430,455.711030,5.962690,4.174980,24.894111
20087:203378,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,865.892925,504.062051,858.792100,501.020020,873.728080,506.559310,14.935980,5.539290,82.734725
20087:203386,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,899.827180,509.122220,897.146100,504.526090,903.047000,513.777960,5.900900,9.251870,54.594360
20087:203394,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,881.380424,519.253791,878.421090,514.965020,883.628100,524.151850,5.207010,9.186830,47.835916
20087:203408,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,866.857296,475.848140,863.345830,473.096970,869.919510,478.721280,6.573680,5.624310,36.972414
20087:203416,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,859.342635,493.610545,857.098380,492.459000,860.986450,495.770100,3.888070,3.311100,12.873789
20087:203424,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,850.681304,459.232276,846.606260,454.988290,854.481410,461.853750,7.875150,6.865460,54.066527
20087:203432,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,854.345030,470.921413,851.355630,467.874660,858.178790,475.218330,6.823160,7.343670,50.107035
20087:203459,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,858.663046,464.075689,855.687210,461.250290,862.245950,466.040930,6.558740,4.790640,31.420562
20087:203467,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,850.840470,496.468398,847.936040,494.379360,853.794830,498.576710,5.858790,4.197350,24.591392
20087:203475,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,908.090456,510.915853,900.234900,503.542420,917.830200,517.876260,17.595300,14.333840,252.208215
20087:203483,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-60.587601,14.715703,-61.849030,12.130920,-58.944600,17.142690,2.904430,5.011770,14.556335
20087:203491,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,876.005144,522.599594,872.734340,519.810260,879.631680,526.492170,6.897340,6.681910,46.087405
20087:203505,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,848.411938,472.100428,844.447810,468.864680,850.764340,474.404760,6.316530,5.540080,34.994082
20087:203513,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,847.866996,466.387742,842.167520,462.935350,852.266040,470.893360,10.098520,7.958010,80.364123
20087:203521,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,866.221395,492.881103,864.897680,492.206900,867.934970,494.017130,3.037290,1.810230,5.498193
20087:203530,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-59.941945,36.119304,-65.336100,31.159980,-52.425580,39.555500,12.910520,8.395520,108.390529
20087:203548,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,841.228431,449.546019,838.913790,447.022870,844.551310,452.304400,5.637520,5.281530,29.774731
20087:203556,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,856.700028,466.796611,855.240790,465.512210,858.708780,468.607330,3.467990,3.095120,10.733845
20087:203564,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,864.703892,494.351432,864.207210,493.895030,865.408860,494.858240,1.201650,0.963210,1.157441
20087:203572,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,859.659181,482.785414,857.693790,481.366160,861.418600,484.684830,3.724810,3.318670,12.361415
